#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Bobo Dioulasso	Burkina Faso	537728	11.18°N	11.18	N	4.29°W	4.29	W
Glasgow	United Kingdom	579422	55.87°N	55.87	N	4.27°W	4.27	W
Abidjan	Ivory Coast	4351086	5.33°N	5.33	N	4.03°W	4.03	W
Madrid	Spain	3332646	40.42°N	40.42	N	3.71°W	3.71	W
Birmingham	United Kingdom	935270	52.48°N	52.48	N	1.91°W	1.91	W
Kumasi	Ghana	1989062	6.69°N	6.69	N	1.63°W	1.63	W
Ouagadougou	Burkina Faso	1626950	12.37°N	12.37	N	1.53°W	1.53	W
Zaragoza	Spain	685963	41.65°N	41.65	N	0.89°W	0.89	W
Tamale	Ghana	537986	9.40°N	9.4	N	0.84°W	0.84	W
Oran	Algeria	641240	35.70°N	35.7	N	0.62°W	0.62	W
Valencia	Spain	831261	39.48°N	39.48	N	0.39°W	0.39	W
Accra	Ghana	2291352	5.56°N	5.56	N	0.20°W	0.2	W
London	United Kingdom	7869322	51.52°N	51.52	N	0.10°W	0.1	W
Lome	Togo	1754589	6.17°N	6.17	N	1.35°E	1.35	E
Niamey	Niger	1058847	13.52°N	13.52	N	2.12°E	2.12	E
Barcelona	Spain	1624598	41.40°N	41.4	N	2.17°E	2.17	E
Paris	France	2193624	48.86°N	48.86	N	2.34°E	2.34	E
Cotonou	Benin	779314	6.36°N	6.36	N	2.44°E	2.44	E
Algiers	Algeria	3335418	36.77°N	36.77	N	3.04°E	3.04	E
Lagos	Nigeria	10404112	6.50°N	6.5	N	3.35°E	3.35	E
Abeokuta	Nigeria	860298	7.16°N	7.16	N	3.35°E	3.35	E
Ibadan	Nigeria	5509119	7.38°N	7.38	N	3.93°E	3.93	E
Brussels	Belgium	1124497	50.83°N	50.83	N	4.33°E	4.33	E
Rotterdam	Netherlands	576302	51.93°N	51.93	N	4.48°E	4.48	E
Ilorin	Nigeria	1151986	8.49°N	8.49	N	4.55°E	4.55	E
Ife	Nigeria	708937	7.48°N	7.48	N	4.56°E	4.56	E
Oshogbo	Nigeria	740654	7.77°N	7.77	N	4.56°E	4.56	E
Ondo	Nigeria	556637	7.09°N	7.09	N	4.84°E	4.84	E
Amsterdam	Netherlands	776226	52.37°N	52.37	N	4.89°E	4.89	E
Akure	Nigeria	941410	7.25°N	7.25	N	5.19°E	5.19	E
Marseille	France	774639	43.31°N	43.31	N	5.37°E	5.37	E
Benin	Nigeria	2571798	6.34°N	6.34	N	5.62°E	5.62	E
Warri	Nigeria	1014403	5.52°N	5.52	N	5.76°E	5.76	E
Onitsha	Nigeria	990712	6.14°N	6.14	N	6.78°E	6.78	E
Düsseldorf	Germany	591122	51.24°N	51.24	N	6.79°E	6.79	E
Cologne	Germany	1015790	50.95°N	50.95	N	6.97°E	6.97	E
Essen	Germany	572962	51.47°N	51.47	N	7.00°E	7	E
Port Harcourt	Nigeria	2306662	4.81°N	4.81	N	7.01°E	7.01	E
Owerri	Nigeria	538666	5.49°N	5.49	N	7.04°E	7.04	E
Aba	Nigeria	1736361	5.10°N	5.1	N	7.35°E	7.35	E
Kaduna	Nigeria	2192441	10.52°N	10.52	N	7.44°E	7.44	E
Dortmund	Germany	579562	51.51°N	51.51	N	7.48°E	7.48	E
Abuja	Nigeria	1568853	9.06°N	9.06	N	7.49°E	7.49	E
Enugu	Nigeria	749235	6.44°N	6.44	N	7.51°E	7.51	E
Turin	Italy	854299	45.08°N	45.08	N	7.68°E	7.68	E
Zaria	Nigeria	663909	11.08°N	11.08	N	7.71°E	7.71	E
Kano	Nigeria	2395379	12.00°N	12	N	8.52°E	8.52	E
Frankfurt	Germany	687107	50.12°N	50.12	N	8.68°E	8.68	E
Bremen	Germany	546952	53.08°N	53.08	N	8.81°E	8.81	E
Jos	Nigeria	627355	9.93°N	9.93	N	8.89°E	8.89	E
Genoa	Italy	575087	44.42°N	44.42	N	8.93°E	8.93	E
Gboko	Nigeria	554483	7.33°N	7.33	N	9.00°E	9	E
Milan	Italy	1331183	45.48°N	45.48	N	9.19°E	9.19	E
Stuttgart	Germany	611342	48.79°N	48.79	N	9.19°E	9.19	E
Libreville	Gabon	797003	0.39°N	0.39	N	9.45°E	9.45	E
Douala	Cameroon	2446945	4.06°N	4.06	N	9.71°E	9.71	E
Hanover	Germany	524355	52.40°N	52.4	N	9.73°E	9.73	E
Hamburg	Germany	1798214	53.55°N	53.55	N	10.00°E	10	E
Tunis	Tunisia	743724	36.84°N	36.84	N	10.22°E	10.22	E
Oslo	Norway	932533	59.91°N	59.91	N	10.75°E	10.75	E
Nuremberg	Germany	507568	49.45°N	49.45	N	11.05°E	11.05	E
Yaounde	Cameroon	2440462	3.87°N	3.87	N	11.52°E	11.52	E
Munich	Germany	1375268	48.14°N	48.14	N	11.58°E	11.58	E
Pointe Noire	Congo	822850	4.77°S	4.77	S	11.87°E	11.87	E
Göteborg	Sweden	528273	57.72°N	57.72	N	12.01°E	12.01	E
Leipzig	Germany	526770	51.35°N	51.35	N	12.40°E	12.4	E
Rome	Italy	2419287	41.89°N	41.89	N	12.50°E	12.5	E
København	Denmark	1217199	55.67°N	55.67	N	12.58°E	12.58	E
Tarabulus	Libya	1018648	32.83°N	32.83	N	13.08°E	13.08	E
Maiduguri	Nigeria	1182498	11.85°N	11.85	N	13.16°E	13.16	E
Luanda	Angola	2825311	8.82°S	8.82	S	13.24°E	13.24	E
Palermo	Italy	633182	38.12°N	38.12	N	13.36°E	13.36	E
Berlin	Germany	3478167	52.52°N	52.52	N	13.38°E	13.38	E
Dresden	Germany	528939	51.05°N	51.05	N	13.74°E	13.74	E
Naples	Italy	937501	40.85°N	40.85	N	14.27°E	14.27	E
Prague	Czech Republic	605923	50.08°N	50.08	N	14.43°E	14.43	E
